Container Name, Max CPU Usage, Max Memory Usage, Execution Time, Run #
Warm Container, 229.40, 114.1, 6.31, 1
Cold Container, 279.80, 137.5, 9.15, 1
Shared Volume Container, 290.97, 110.6, 13.36, 1
Warm Container, 251.25, 106.3, 6.78, 2
Cold Container, 255.55, 124, 9.80, 2
Shared Volume Container, 262.49, 104.5, 6.59, 2
Warm Container, 244.94, 132.5, 7.09, 3
Cold Container, 276.62, 196.5, 9.09, 3
Shared Volume Container, 184.83, 120.9, 6.10, 3
Warm Container, 232.89, 141.9, 6.60, 4
Cold Container, 285.84, 124, 8.96, 4
Shared Volume Container, 268.38, 115, 6.11, 4
Warm Container, 205.32, 116.6, 6.71, 5
Cold Container, 278.24, 128.9, 9.15, 5
Shared Volume Container, 204.73, 114.6, 6.10, 5
Warm Container, 236.63, 114.9, 6.65, 6
Cold Container, 266.94, 135.6, 9.09, 6
Shared Volume Container, 262.14, 119.4, 6.18, 6
Warm Container, 235.48, 133.9, 6.71, 7
Cold Container, 256.18, 138.7, 8.82, 7
Shared Volume Container, 194.61, 127.2, 6.02, 7
Warm Container, 246.60, 112.5, 6.64, 8
Cold Container, 269.96, 132.8, 8.97, 8
Shared Volume Container, 263.29, 124.4, 5.94, 8
Warm Container, 200.56, 123.9, 6.77, 9
Cold Container, 306.89, 124.7, 9.19, 9
Shared Volume Container, 176.43, 73.98, 5.83, 9
Warm Container, 131.65, 123.4, 6.62, 10
Cold Container, 280.14, 125.9, 8.88, 10
Shared Volume Container, 182.72, 112.6, 6.43, 10
Warm Container, 265.17, 113.4, 6.86, 11
Cold Container, 277.98, 190.7, 9.16, 11
Shared Volume Container, 240.42, 117.1, 6.29, 11
Warm Container, 253.36, 111.4, 6.70, 12
Cold Container, 282.50, 125.7, 8.95, 12
Shared Volume Container, 264.81, 121, 5.77, 12
Warm Container, 251.47, 126.4, 6.85, 13
Cold Container, 277.95, 122.2, 9.06, 13
Shared Volume Container, 189.08, 123.8, 6.12, 13
Warm Container, 243.59, 106.9, 7.79, 14
Cold Container, 247.77, 129.8, 9.78, 14
Shared Volume Container, 283.98, 129.7, 6.93, 14
Warm Container, 260.10, 126.6, 7.08, 15
Cold Container, 287.31, 135.1, 9.53, 15
Shared Volume Container, 269.59, 130.4, 6.45, 15
Warm Container, 220.91, 128.6, 6.93, 16
Cold Container, 296.36, 239.7, 12.17, 16
Shared Volume Container, 197.29, 119.9, 6.19, 16
Warm Container, 251.41, 108.9, 6.95, 17
Cold Container, 244.64, 126.6, 9.72, 17
Shared Volume Container, 279.86, 129.3, 6.38, 17
Warm Container, 244.77, 116.9, 6.91, 18
Cold Container, 268.43, 140.4, 9.02, 18
Shared Volume Container, 185.71, 73.7, 5.89, 18
Warm Container, 140.78, 116.4, 6.70, 19
Cold Container, 297.34, 188.9, 9.41, 19
Shared Volume Container, 177.57, 132.3, 5.99, 19
Warm Container, 244.74, 128.6, 6.96, 20
Cold Container, 253.08, 138, 9.38, 20
Shared Volume Container, 196.35, 122.6, 6.05, 20
Warm Container, 248.99, 129.7, 6.96, 21
Cold Container, 277.31, 128.7, 9.13, 21
Shared Volume Container, 186.75, 79.36, 5.79, 21
Warm Container, 147.51, 108.7, 6.70, 22
Cold Container, 266.17, 149.6, 9.24, 22
Shared Volume Container, 193.76, 80.11, 5.84, 22
Warm Container, 241.61, 105.9, 7.00, 23
Cold Container, 268.59, 162.6, 9.12, 23
Shared Volume Container, 186.17, 72.2, 5.93, 23
Warm Container, 141.77, 117, 6.79, 24
Cold Container, 281.48, 131.9, 9.15, 24
Shared Volume Container, 254.50, 115.5, 6.12, 24
Warm Container, 246.03, 134.1, 6.94, 25
Cold Container, 353.25, 133.1, 9.67, 25
Shared Volume Container, 255.46, 109.6, 6.02, 25
Warm Container, 175.43, 113.3, 7.44, 26
Cold Container, 291.89, 117.2, 9.91, 26
Shared Volume Container, 238.65, 110.7, 6.19, 26
Warm Container, 255.53, 117.3, 7.21, 27
Cold Container, 292.30, 152.7, 11.30, 27
Shared Volume Container, 222.07, 128.8, 6.90, 27
Warm Container, 255.63, 107.1, 7.45, 28
Cold Container, 296.56, 230.1, 10.18, 28
Shared Volume Container, 222.14, 123.8, 6.31, 28
Warm Container, 254.98, 114.8, 6.94, 29
Cold Container, 296.53, 137.6, 9.50, 29
Shared Volume Container, 258.51, 121.1, 6.54, 29
Warm Container, 249.17, 122.7, 6.91, 30
Cold Container, 225.92, 129.7, 10.73, 30
Shared Volume Container, 270.04, 116.5, 6.07, 30
Warm Container, 181.18, 121.9, 6.68, 31
Cold Container, 291.47, 143.5, 9.47, 31
Shared Volume Container, 264.27, 127.5, 6.31, 31
Warm Container, 140.63, 108.1, 6.80, 32
Cold Container, 291.58, 227.1, 9.78, 32
Shared Volume Container, 200.45, 133.9, 6.10, 32
Warm Container, 250.10, 118.8, 7.79, 33
Cold Container, 277.46, 108, 10.32, 33
Shared Volume Container, 215.98, 126.9, 6.16, 33
Warm Container, 259.30, 102.7, 7.45, 34
Cold Container, 275.11, 130.8, 11.51, 34
Shared Volume Container, 265.04, 112.2, 5.95, 34